"id","raw_id","aircraft_model","published_date","event_tag","airline","event_location","event_date","event_description","aircraft_tail_extracted","ac_manufacturer_extracted","ac_model_extracted","flight_number_extracted"
117038,622,A20N,2024-03-07 00:00:00.000 +0100,Incident,ITA,Rome,2024-03-07 00:00:00.000 +0100,bird strike,EI-HOC,Airbus,A320-200N,AZ-108
117046,629,A332,2024-03-06 00:00:00.000 +0100,Incident,CAA,Goma,2024-03-05 00:00:00.000 +0100,rejected takeoff due to bird strike,"9S-ASJ",Airbus,A330-200,BU-1222
117052,635,E195,2024-03-04 00:00:00.000 +0100,Incident,Azul,Sao Paulo,2024-03-03 00:00:00.000 +0100,bird strike,PR-AXP,Embraer,ERJ,AD-4316
117042,625,B78X,2024-03-06 00:00:00.000 +0100,Accident,Saudia,London,2024-03-03 00:00:00.000 +0100,bird strike,HZ-AR33,Boeing,"787-10",SV-109
117053,636,B738,2024-03-04 00:00:00.000 +0100,Incident,Egypt,Entebbe,2024-03-01 00:00:00.000 +0100,bird strike,SU-GDZ,Boeing,"737-800",MS-835
117068,650,B737,2024-02-29 00:00:00.000 +0100,Incident,Alaska,Juneau,2024-02-28 00:00:00.000 +0100,bird strike,N644AS,Boeing,"737-700",AS-61
117043,626,B738,2024-03-06 00:00:00.000 +0100,Incident,Flybondi,Buenos Aires,2024-02-28 00:00:00.000 +0100,rejected takeoff due to bird strike,LV-KEF,Boeing,"737-800",FO-5900
117085,667,A320,2024-02-26 00:00:00.000 +0100,Incident,Delta,Austin,2024-02-24 00:00:00.000 +0100,bird strike,N320US,Airbus,A320-200,DL-2260
117093,674,A20N,2024-02-24 00:00:00.000 +0100,Incident,Vistara,Srinagar,2024-02-23 00:00:00.000 +0100,bird strike,VT-TYF,Airbus,A320-200N,UK-612
117181,760,A319,2024-01-30 00:00:00.000 +0100,Incident,Eurowings,Budapest,2024-01-30 00:00:00.000 +0100,bird strike,D-AGWV,Airbus,A319-100,EW-2781
117185,764,A320,2024-01-29 00:00:00.000 +0100,Accident,Allegiant,Phoenix,2024-01-26 00:00:00.000 +0100,bird strikes damage both engines,N257NV,Airbus,A320-200,G4-693
117198,777,A343,2024-01-26 00:00:00.000 +0100,Incident,Lufthansa,Boston,2024-01-19 00:00:00.000 +0100,bird strike,D-AIGN,Airbus,A340-300,LH-423
117249,827,DH8A,2024-01-15 00:00:00.000 +0100,Incident,UNO,Juba,2024-01-15 00:00:00.000 +0100,bird strike,C-GNSV,Dash,"8-100",UNO-516
117240,819,A319,2024-01-16 00:00:00.000 +0100,Incident,United,Chicago,2024-01-13 00:00:00.000 +0100,bird strike,N896UA,Airbus,A319-100,UA-1301
117262,840,B738,2024-01-11 00:00:00.000 +0100,Incident,Tway,Seoul,2024-01-10 00:00:00.000 +0100,bird strike,HL8047,Boeing,"737-800",TW-216
117266,844,A21N,2024-01-10 00:00:00.000 +0100,Incident,Transavia,Faro,2024-01-09 00:00:00.000 +0100,bird strike,PH-YHZ,Airbus,A321-200N,HV-5355
117269,847,E175,2024-01-09 00:00:00.000 +0100,Incident,Republic,Hartford,2024-01-08 00:00:00.000 +0100,bird strike,N767YX,Embraer,ERJ,UA-3475
117284,862,B738,2024-01-05 00:00:00.000 +0100,Incident,Jet2,Tenerife,2024-01-03 00:00:00.000 +0100,bird strike,G-JZHW,Boeing,"737-800",LS-126
117292,870,B738,2024-01-02 00:00:00.000 +0100,Incident,Southwest,Nashville,2023-12-31 00:00:00.000 +0100,bird strike,N8632A,Boeing,"737-800",WN-169
117299,877,E175,2023-12-29 00:00:00.000 +0100,Incident,Republic,Columbus,2023-12-28 00:00:00.000 +0100,bird strike,N436YX,Embraer,ERJ,AA-4808
117302,880,B737,2023-12-28 00:00:00.000 +0100,Incident,Southwest,Fort Lauderdale,2023-12-27 00:00:00.000 +0100,bird strike,N232WN,Boeing,"737-700",WN-1416
117309,887,B738,2023-12-27 00:00:00.000 +0100,Incident,United,Denver,2023-12-26 00:00:00.000 +0100,bird strike,N25201,Boeing,"737-800",UA-1213
117325,903,B772,2023-12-22 00:00:00.000 +0100,Incident,United,Amsterdam,2023-12-22 00:00:00.000 +0100,bird strike,N77014,Boeing,"777-200",UA-21
117318,896,B38M,2023-12-26 00:00:00.000 +0100,Incident,Southwest,New Orleans,2023-12-20 00:00:00.000 +0100,bird strike,N8830Q,Boeing,"737-8 MAX",WN-554
117362,939,B738,2023-12-11 00:00:00.000 +0100,Incident,Southwest,Sacramento,2023-12-08 00:00:00.000 +0100,bird strike,N8319F,Boeing,"737-800",WN-3182
117387,964,B788,2023-12-04 00:00:00.000 +0100,Incident,American,Paris,2023-12-04 00:00:00.000 +0100,bird strike,N811AB,Boeing,"787-8",AA-755
117380,957,CRJ9,2023-12-06 00:00:00.000 +0100,Incident,Skywest,Omaha,2023-12-03 00:00:00.000 +0100,bird strike,N825SK,CRJ,"900 ",DL-3754
117397,974,A320,2023-12-01 00:00:00.000 +0100,Incident,Austrian,Hamburg,2023-11-30 00:00:00.000 +0100,bird strike,OE-LZD,Airbus,A320-200,OS-174
117389,966,B737,2023-12-04 00:00:00.000 +0100,Incident,Southwest,El Paso,2023-11-30 00:00:00.000 +0100,bird strike,N7820L,Boeing,"737-700",WN-1822
117413,989,B772,2023-11-29 00:00:00.000 +0100,Incident,China Cargo,New York,2023-11-27 00:00:00.000 +0100,bird strike,B-220F,Boeing,"777-200 ",CK-232
117430,1006,B38M,2023-11-27 00:00:00.000 +0100,Incident,Smartwings,Salalah,2023-11-24 00:00:00.000 +0100,bird strike,OK-SWH,Boeing,"737-8 MAX",QS-4134
117444,1020,A319,2023-11-22 00:00:00.000 +0100,Incident,United,New York,2023-11-21 00:00:00.000 +0100,bird strike,N829UA,Airbus,A319-100,UA-2182
117450,1026,AT72,2023-11-21 00:00:00.000 +0100,Incident,Manta,Dharavandhoo,2023-11-20 00:00:00.000 +0100,bird strike,"8Q-RAZ",ATR,"72-212A",NR-503
117463,1039,E175,2023-11-16 00:00:00.000 +0100,Incident,Skywest,Salt Lake City,2023-11-15 00:00:00.000 +0100,bird strike,N276SY,Embraer,ERJ,DL-3880
117474,1050,A321,2023-11-13 00:00:00.000 +0100,Incident,Spirit,Nashville,2023-11-09 00:00:00.000 +0100,bird strike,N668NK,Airbus,A321-200,NK-2177
117501,1077,A320,2023-11-06 00:00:00.000 +0100,Incident,LATAM Brasil,Salvador,2023-10-31 00:00:00.000 +0100,bird strike,PR-MYI,Airbus,A320-200,LA-3633
117518,1093,A21N,2023-11-01 00:00:00.000 +0100,Incident,American,Chicago,2023-10-30 00:00:00.000 +0100,bird strike,N410AN,Airbus,A321-200N,AA-556
117532,1107,A21N,2023-10-28 00:00:00.000 +0200,Incident,Azores,Ponta Delgada,2023-10-27 00:00:00.000 +0200,bird strike,CS-TSI,Airbus,A321-200N,S4-247
117534,1109,E175,2023-10-27 00:00:00.000 +0200,Incident,Skywest,Denver,2023-10-26 00:00:00.000 +0200,bird strike,N154SY,Embraer,ERJ,UA-4707
117521,1096,A321,2023-10-31 00:00:00.000 +0100,Incident,Sichuan,Chengdu,2023-10-25 00:00:00.000 +0200,bird strike,B-8605,Airbus,A321-200,"3U-8899"
117537,1112,B739,2023-10-26 00:00:00.000 +0200,Incident,Delta,Atlanta,2023-10-24 00:00:00.000 +0200,bird strike,N927DZ,Boeing,"737-900",DL-984
117511,1087,B738,2023-11-02 00:00:00.000 +0100,Incident,Buzz,Gothenburg,2023-10-20 00:00:00.000 +0200,bird strike,SP-RKI,Boeing,"737-800 ",FR-6094
117557,1132,E195,2023-10-23 00:00:00.000 +0200,Incident,Dolomiti,Dresden,2023-10-20 00:00:00.000 +0200,bird strike,I-ADJX,Embraer,ERJ,EN-8731
117584,1159,B38M,2023-10-16 00:00:00.000 +0200,Incident,American,Miami,2023-10-15 00:00:00.000 +0200,bird strike,N335RT,Boeing,"737-8 MAX",AA-1400
117585,1160,A321,2023-10-16 00:00:00.000 +0200,Incident,Delta,Detroit,2023-10-14 00:00:00.000 +0200,rejected takeoff due to bird strike,N352DN,Airbus,A321-200,DL-1139
117608,1182,A332,2023-10-10 00:00:00.000 +0200,Incident,Iberia,San Salvador,2023-10-08 00:00:00.000 +0200,bird strike,EC-MSY,Airbus,A330-200,IB-6342
117605,1179,A319,2023-10-10 00:00:00.000 +0200,Incident,American,Phoenix,2023-10-06 00:00:00.000 +0200,bird strikes cracks windshield,N831AW,Airbus,A319-100,AA-845
117643,1217,B737,2023-10-01 00:00:00.000 +0200,Incident,Southwest,Sacramento,2023-09-30 00:00:00.000 +0200,bird strike,N770SA,Boeing,"737-700",WN-1707
117648,1222,A321,2023-09-29 00:00:00.000 +0200,Incident,Lufthansa,Frankfurt,2023-09-29 00:00:00.000 +0200,bird strike,D-AIRK,Airbus,A321-100,LH-1530
